reviewId,content,score
7c3192e6-806a-4e08-993a-8b287c4008d6,Status saver,2
67222c25-ca15-4898-971d-f2e0e84bc08b,no like,1
05e60e4e-701e-4a01-b35a-fd6964c1a5a2,Amazing tactics😍. I really love this Snapchat of an app 😍😍💞.,5
139d9fbc-3ed1-4fd4-a8f7-d86dc2783abc,Perfect,5
174eaa85-7861-48cc-a886-1c901bc6b048,its amazing can call my friends so yeah check it out,5
f8aa5fb5-9e45-45c0-92eb-d445c655b7e3,i want to delete my snapchat account.. please help me,4
ee950d8b-b209-49c0-8e9e-30226c78078c,Love it 😂 ❤️🥰,5
5f8b82d4-1d13-4836-938a-58a460cb1f5c,beautiful filters 😁,3
878e24a6-ac00-4496-9c31-2c19cbf3e881,good,5
1ad8f889-ae4a-4dbc-a207-559097620c3e,I like tha Snapchat,5
f214ef5d-a3f8-4065-8b1a-9f213f70b442,"The my AI bot is creepy and suspicious, especially since there is no way to get rid of it without paying. It is also defaulted to have access to everything even when you choose to cancel it, it still gets forced upon users. This should be an optional feature and I should be able to block my AI the same as any other user. To force us to interact with a Snapchat created bot as a function of using the app is overreaching and invasive.",1
4933d486-0ee1-4b7f-b11a-85af4afb37a9,Absolutely hate the new my ai feature. Incredibly dumb that you have to pay for Snapchat+ to remove it.,1
9ecb656a-7f85-40d2-b3fc-d81cb8128edf,There should be an identity verification feature or something. Too many catfishes out there.,2
392b70b7-481f-4775-b334-3086f3fde5e8,very good,5
48a6e1bc-8fb4-403a-b781-a29f0c6e3759,"i love this app, definitely to communicate with others .",5
257173ee-ec39-441f-bd6f-eb49252e53f3,"Hey, Can we get an option while sending a snap to everyone that a person has a streak with? Would make it so much more easier.",4
fd2e3141-1542-4121-a2b6-86fe1c74bdb8,"I'm trying to text two people and we've both added eachother back and it says pending and it's been a day, I can't even call them 😠",3
6dde7d0b-9bd9-4491-9f6a-f2de0bdd3e39,this app is nice,1
b500e617-e1ec-4dba-91a2-a04635f039aa,Good app,5
71c03ef2-a6b7-42aa-acf2-61f425289e06,End,5
188c960b-0be3-429e-a562-a574b0571be2,"It is good, but why i can't use my snap rn?what happen?i've been trying to log in again and again but it all keeps saying try again in a few minutes!.",1
86abcccb-459b-4afe-87d6-4aa58df28f60,Very good,5
0a299d4f-72f6-414f-b925-1b5fe9d334c6,Snapchat is getting annoying bc i would text someone and it says delivered but a hour later it didn't send and i would leave them on open and not even notice,2
f66462b9-76bf-4933-b804-a7a84349e668,This app doesn't really work on chromebook/laptops at ALL! It just stays on the loading screen and you can't really use it. I tried multiple times to get it to work but it just never does. Even unistalling it and redownloading it doesn't work.,2
9d502611-0673-4d4b-95bf-e535a23553ac,nice 👍,5
c94255db-ef3b-4cf9-a45c-04430d7126b3,"Better than it was on Android, but the experience is still far worse than on an iPhone. Optimization needs to be improved, particularly with the cameras.",4
b5ad04ed-3898-48c5-b039-63188200e817,"nice, awesome",5
6753257f-7498-4912-ae78-f1d4ed3a2c1c,good,5
ff9973c7-df6b-42a5-a598-9c2092ca3b21,I hate that I can not half swipe on any of my messages and it's annoying because it's saved my life many times before and now I can't so that's why I'm giving it a one star,1
40adafd9-9748-49b5-b3fe-6e53e2034f25,I like this snapchat because..we can explore the snapchat and choose what you like the most..🙌♀️and it's kind of cool☺because you can choose what ever you like too..😘,5
64bd33e9-dc5d-4169-ba3f-aee63e773c77,It's not working correctly I can't able to see my pics and hiden pics it's showing something wrong !! Fix it properly 😥😡,1
15250716-a098-45e4-a8f6-ac4edb028e35,Nice,1
dfb95c2e-fdbd-4448-b8b2-22c5c5d9104d,its really unfair that android users do not get to experience the dark mode feature on this app. I hope it's going to be available soon.,1
0f5a0009-d822-456e-b8c1-bbef4eee1139,it works great on mobile but it barely works on chromebook every time i go into it the app crashes pls fix this,4
9d66bdc2-eb9b-41af-a0c5-f53a566344cc,✿Snapchat is amazing ✿ app ✿,5
010700a1-450d-4fda-9d0d-4a00e7a9d506,it is amazing app,5
e07c226f-31f9-4834-872d-b701ade544da,ITS AN AMAZING APP. No glitches nothing it makes it easier to talk to friends and have fun!,5
7905e326-fe31-481a-bb6e-5d4e64006846,"it keeps glitching everytime i open it. it crashes. nothing works. screen goes black and it glitches my camera too, whereas when i uninstall it everything works just fine on Instagram and normal camera.",1
62a8b8fd-09e8-46df-9af4-91d7b66e38cd,I don't like the story memories. I have the most recent update and I don't see an option to disable it.,3
aa7648df-cf51-4207-961a-09e11e80c08f,"I've been using dis app for like 12yrs, still the best app I've used.",5
e234e059-96da-4ae9-8831-5c105a29df98,U found my long lost brother through Snapchat thanks for uniting us google play store you're the best...,5
782b64d0-7cca-4297-88bd-55db0647fd4f,e cc ll,3
82ae31c5-3141-4bd3-9fd0-2e5e64aa2418,It's a good app with a lot of good filters but I have noticed that the Snapchat Camera hangs for a while,4
c6264b34-eafe-4c18-bfb1-875640b6cd91,Well even tho I can get connected with my friends and nice filters but the new bitmojis are a nightmare and ugly and bring old ones back,4
df9d893e-237c-4c6d-9748-f0e071cdf1b9,am really enjoying it,1
d0c1d8e6-a5cc-46b9-8405-cc26799b1374,Dear snapchat team friend remove option is not work please help,1
3fa00b68-fff7-4c81-a14d-bf81357839d9,Word biggest Joy,5
d6583790-e021-4f0e-84f2-2076d236773e,No one are interested to speak all you stop so now no one are interested because you have delayed in fixing WhatsApp now I have to make new friends but any I will do my best but I need your support I appreciate 2023 !!!,1
65b5be3c-07a8-49ad-a7d5-898135e071c0,It is a very good,5
30f2a881-d366-4973-a51b-0b4e407756fa,"I love this app, but the new update is killing me. I use a computer to text friends because, right now, I don't have a phone. I get they updated it to be more secured, but right now wasn't really the best timing for me.",4
f40904e5-9327-41cb-85d5-d31f49189cf5,App have some glitchesss,1
269b6bd6-0db8-4330-a2a6-3b1dd4f1fe46,always loved snap,5
d525cdbc-79ad-4d6e-baa4-c8516529da9b,nice,4
860d3360-0b0b-4c50-8db6-e392a466a464,❤️❤️😭,5
1e2142c2-32fa-43df-b46c-a9f73d9af935,high Quality,5
97282c29-e7ad-4fd0-9fe6-404f5d305586,omg ❤‍🩹its too nice app officially recommended by me ~btw_ayesha~,5
5bbc1b5d-dbea-413d-a5f6-c6081de5c342,Very nice,5
72f95d4d-538e-4737-be6d-87c656a5ace3,pleaseeee do not update the apps! Still have bugs and the new format is not user-friendly!,1
f5aa7916-ee3d-41dc-b9ed-78155e03556b,good,4
7dae8e67-9fe7-450d-a98b-2052d5b8cf4f,"I am unable to install snapchat which at first gets downloaded but google play store isn't letting snapchat install in the phone. A message appears on the screen after downloading ""it can't get installed""!! I tried clearing cache then restarting the device but nothing is helping",3
a8bdea7d-7039-4426-be9f-723a7dd6b466,"Snapchat is an app that easily allows you to communicate with your friends and allows you to connect with new people, but there are several features that seem to be harmful for the user experience, such as the ""Display your precise location"" feature and the addictive story feature that could also be harmful if you like to internet surf. Snapchat also has a bot issue, and they're not helpful at removing them, so if you download this app, expect a few inappropriate users to automatically add you.",4
e67eff85-1b27-4012-9dde-709584a07b70,"I am lens creator on snapchat I feel very bad to say that. I am unable to upload status on my public profile and even I am unable to see my insight, activity log etc . .",1
a8fe2330-1acf-4c79-9a70-a4b7f5b4fc1d,l love it,5
bb960b35-efd5-4f0b-b4fe-0b097b784412,I can't snap reply and everyone else can! I updated it and it still isn't working! so snapchat fix this please!,2
585c99b3-4bb7-413c-857d-01e1c611715b,𝓘 𝓽𝓱𝓲𝓷𝓴 𝓲𝓽'𝓼 𝓫𝓮𝓽𝓽𝓮𝓻 .,4
624e75ed-9fda-4eb9-94ee-33d0fd837511,Just lovely nothing to say ❤️❤️❤️❤️🤗💜💜💜💜💜 and BTS filters oh my god just looking like wow 💜💜💜💜💜💜,5
0a01ae29-a9e6-4979-b0da-b10d32eba366,Super App,5
3a607307-597b-4599-9d08-4d391a808872,aap sends so many notifications,1
